order_id,user_id,restaurant_id,order_time,meal_period,items_ordered,order_value,was_completed
O000001,U04316,R0077,2025-12-06T11:19:23.994142,lunch,"[""I01476"", ""I01488"", ""I01479""]",526,True
O000002,U01398,R0002,2025-12-08T20:43:18.608261,dinner,"[""I00026""]",66,True
O000003,U00288,R0033,2025-12-03T05:17:05.283304,late_night,"[""I00707"", ""I00694"", ""I00701"", ""I00703"", ""I00704""]",711,True
O000004,U02665,R0061,2026-01-05T12:03:24.778989,lunch,"[""I01173""]",328,True
O000005,U03828,R0098,2025-12-01T23:54:54.077904,late_night,"[""I01962""]",70,True
O000006,U04429,R0037,2025-12-09T00:52:09.280747,late_night,"[""I00768""]",120,False
O000007,U04494,R0070,2025-12-13T06:00:55.109916,late_night,"[""I01356"", ""I01357"", ""I01358""]",515,True
O000008,U01107,R0094,2025-12-15T13:27:08.589429,lunch,"[""I01866""]",42,True
O000009,U04418,R0023,2026-01-01T13:46:02.263499,lunch,"[""I00474""]",74,False
O000010,U04841,R0088,2025-12-03T12:06:35.077171,lunch,"[""I01723"", ""I01717""]",419,True
O000011,U03741,R0085,2026-01-02T07:19:45.347471,breakfast,"[""I01652"", ""I01640"", ""I01650"", ""I01643"", ""I01644""]",722,True
O000012,U03564,R0092,2025-12-29T19:19:15.070065,dinner,"[""I01818"", ""I01813""]",341,True
O000013,U04373,R0040,2026-01-01T20:52:15.861545,dinner,"[""I00810"", ""I00800""]",267,True
O000014,U02845,R0077,2025-12-12T01:51:29.061778,late_night,"[""I01488"", ""I01484"", ""I01483""]",346,True
O000015,U04421,R0030,2025-12-12T11:46:17.063217,lunch,"[""I00637"", ""I00648"", ""I00635"", ""I00652""]",867,True
O000016,U00734,R0057,2025-12-20T14:46:47.006252,lunch,"[""I01109"", ""I01106""]",226,True
O000017,U02523,R0067,2026-01-03T17:15:49.956538,late_night,"[""I01299"", ""I01302"", ""I01295""]",498,True
O000018,U03377,R0027,2025-12-09T22:43:14.859872,dinner,"[""I00553"", ""I00580"", ""I00565"", ""I00573"", ""I00552""]",718,True
O000019,U01276,R0063,2025-12-15T01:00:55.350474,late_night,"[""I01235"", ""I01232"", ""I01233"", ""I01241"", ""I01242"", ""I01240"", ""I01244""]",1129,True
O000020,U00087,R0001,2026-01-04T14:27:24.289413,lunch,"[""I00012"", ""I00001""]",149,False
O000021,U04288,R0098,2025-12-11T13:11:35.686122,lunch,"[""I01964"", ""I01961"", ""I01966""]",282,True
O000022,U01117,R0043,2025-12-05T12:08:06.266394,lunch,"[""I00863""]",96,True
O000023,U02350,R0061,2025-12-14T01:01:58.214044,late_night,"[""I01187"", ""I01173"", ""I01179""]",915,False
O000024,U04384,R0002,2025-12-22T10:07:39.977290,breakfast,"[""I00019"", ""I00029"", ""I00017"", ""I00020""]",454,False
O000025,U04030,R0097,2025-12-05T01:52:50.509440,late_night,"[""I01939"", ""I01949"", ""I01945"", ""I01942"", ""I01927"", ""I01944""]",436,True
O000026,U03909,R0039,2026-01-01T14:19:11.966178,lunch,"[""I00786"", ""I00798"", ""I00796""]",236,True
O000027,U00075,R0070,2025-12-16T05:57:09.031382,late_night,"[""I01339"", ""I01344"", ""I01348""]",278,True
O000028,U02400,R0083,2025-12-08T20:22:01.138726,dinner,"[""I01591"", ""I01601""]",369,True
O000029,U01895,R0001,2025-12-01T16:31:49.732315,late_night,"[""I00011"", ""I00002"", ""I00006""]",227,True
O000030,U04491,R0035,2025-12-10T23:07:32.766280,late_night,"[""I00734"", ""I00731""]",371,True
O000031,U01545,R0083,2025-12-30T19:56:17.254387,dinner,"[""I01601"", ""I01588"", ""I01596"", ""I01597""]",540,False
O000032,U04593,R0070,2026-01-01T00:25:03.737696,late_night,"[""I01343"", ""I01354"", ""I01358"", ""I01338""]",800,False
O000033,U03234,R0041,2026-01-02T07:52:59.232824,breakfast,"[""I00832"", ""I00829"", ""I00834"", ""I00826"", ""I00821""]",581,True
O000034,U01338,R0071,2025-12-13T15:28:18.390488,late_night,"[""I01379"", ""I01376""]",161,True
O000035,U03100,R0026,2026-01-01T20:39:27.214088,dinner,"[""I00542""]",57,True
O000036,U02155,R0014,2025-12-02T06:45:20.841426,late_night,"[""I00306"", ""I00296""]",357,True
O000037,U03459,R0081,2026-01-03T07:48:35.890788,breakfast,"[""I01568"", ""I01562""]",182,False
O000038,U01963,R0067,2025-12-26T19:12:18.553847,dinner,"[""I01306""]",345,True
O000039,U02228,R0037,2026-01-04T05:17:14.850901,late_night,"[""I00759"", ""I00766"", ""I00758"", ""I00755"", ""I00754""]",638,True
O000040,U04358,R0034,2025-12-25T23:13:42.368721,late_night,"[""I00713"", ""I00712""]",126,False
O000041,U03383,R0025,2026-01-02T06:12:08.533407,late_night,"[""I00514"", ""I00516""]",777,True
O000042,U00561,R0028,2025-12-25T08:06:14.102651,breakfast,"[""I00598"", ""I00593"", ""I00594""]",260,True
O000043,U01120,R0038,2025-12-26T08:12:22.880241,breakfast,"[""I00771"", ""I00773"", ""I00781""]",987,True
O000044,U00905,R0082,2025-12-23T07:57:57.122438,breakfast,"[""I01577"", ""I01579"", ""I01585"", ""I01576""]",1665,True
O000045,U03731,R0088,2025-12-11T12:55:16.270613,lunch,"[""I01708"", ""I01709"", ""I01714"", ""I01706""]",619,True
O000046,U03710,R0041,2025-12-08T14:16:44.147493,lunch,"[""I00821"", ""I00830"", ""I00820""]",296,True
O000047,U04031,R0024,2025-12-26T07:17:33.646197,breakfast,"[""I00494"", ""I00490"", ""I00493""]",387,True
O000048,U02627,R0003,2025-12-08T22:22:08.337711,dinner,"[""I00052""]",81,True
O000049,U01247,R0010,2025-12-19T19:56:58.418199,dinner,"[""I00234"", ""I00236""]",523,True
O000050,U04383,R0005,2025-12-26T14:35:12.750778,lunch,"[""I00113"", ""I00102"", ""I00104""]",248,False
O000051,U01524,R0021,2025-12-31T14:23:04.549252,lunch,"[""I00421"", ""I00428""]",411,True
O000052,U02312,R0049,2025-12-06T16:09:13.576740,late_night,"[""I00969"", ""I00975"", ""I00978""]",494,True
O000053,U01025,R0092,2025-12-24T20:11:40.706658,dinner,"[""I01819"", ""I01816"", ""I01827"", ""I01832""]",487,False
O000054,U03592,R0002,2025-12-16T05:48:58.820057,late_night,"[""I00026"", ""I00017"", ""I00025""]",193,False
O000055,U01908,R0016,2025-12-14T21:26:04.260278,dinner,"[""I00348"", ""I00351"", ""I00355""]",670,True
O000056,U01235,R0031,2025-12-02T17:09:37.566563,late_night,"[""I00661"", ""I00657""]",65,True
O000057,U04044,R0033,2025-12-29T11:10:51.954349,lunch,"[""I00697""]",162,False
O000058,U02801,R0050,2025-12-09T17:51:45.627980,late_night,"[""I00986"", ""I00981"", ""I00984""]",684,True
O000059,U02553,R0067,2025-12-10T00:53:10.515183,late_night,"[""I01302"", ""I01296""]",363,True
O000060,U03043,R0074,2025-12-05T02:45:59.277447,late_night,"[""I01430"", ""I01428""]",86,True
O000061,U00260,R0057,2025-12-29T20:27:47.250964,dinner,"[""I01107""]",63,True
O000062,U00658,R0097,2025-12-08T15:44:25.526271,late_night,"[""I01932"", ""I01940"", ""I01952""]",568,True
O000063,U01197,R0012,2025-12-12T10:53:55.579190,breakfast,"[""I00265"", ""I00272"", ""I00264"", ""I00274"", ""I00270"", ""I00269""]",1137,True
O000064,U02184,R0100,2026-01-04T05:03:08.200271,late_night,"[""I02024"", ""I02005""]",402,True
O000065,U03215,R0013,2025-12-15T13:07:53.228070,lunch,"[""I00285"", ""I00290""]",264,True
O000066,U04450,R0053,2025-12-31T04:00:43.510925,late_night,"[""I01031""]",189,True
O000067,U01488,R0027,2025-12-17T11:10:23.571518,lunch,"[""I00560"", ""I00566""]",226,True
O000068,U02049,R0049,2025-12-25T10:35:38.060530,breakfast,"[""I00973"", ""I00970"", ""I00976"", ""I00975""]",513,True
O000069,U00104,R0013,2026-01-05T05:55:09.471214,late_night,"[""I00276""]",165,True
O000070,U02040,R0040,2025-12-23T20:19:49.578090,dinner,"[""I00818"", ""I00812""]",486,True
O000071,U03629,R0032,2025-12-09T07:39:26.936009,breakfast,"[""I00680"", ""I00681""]",121,True
O000072,U00275,R0041,2025-12-27T03:42:17.257686,late_night,"[""I00828"", ""I00829"", ""I00834""]",457,False
O000073,U03776,R0034,2026-01-03T09:35:19.473434,breakfast,"[""I00713"", ""I00709"", ""I00718"", ""I00712"", ""I00715"", ""I00717""]",769,True
O000074,U04270,R0025,2025-12-06T11:36:05.383374,lunch,"[""I00497"", ""I00514"", ""I00512""]",607,True
O000075,U03874,R0045,2025-12-27T01:55:49.224539,late_night,"[""I00896""]",48,True
O000076,U02557,R0100,2025-12-09T23:08:46.094962,late_night,"[""I02034"", ""I02018""]",409,True
O000077,U02647,R0031,2026-01-05T03:27:26.021194,late_night,"[""I00660"", ""I00664"", ""I00671"", ""I00673"", ""I00668""]",276,True
O000078,U00346,R0096,2025-12-12T13:04:22.132524,lunch,"[""I01913"", ""I01915"", ""I01922""]",254,True
O000079,U04503,R0067,2025-12-29T19:04:43.093171,dinner,"[""I01296"", ""I01298""]",551,True
O000080,U01001,R0033,2025-12-05T13:42:24.858281,lunch,"[""I00705"", ""I00695""]",237,True
