session_id,user_id,restaurant_id,start_time,meal_period,zone,dietary_toggle,order_completed,final_order_value,num_cart_items
S000001,U02599,R0015,2025-12-25T20:49:52.316625,dinner,West,none,True,695,4
S000002,U03108,R0070,2025-12-23T01:39:40.176402,late_night,East,none,True,422,2
S000003,U01954,R0017,2025-12-24T16:20:53.618668,late_night,North,veg,False,0,3
S000004,U00047,R0029,2025-12-17T14:12:26.733090,lunch,East,none,True,352,3
S000005,U01304,R0060,2025-12-11T18:38:35.081894,late_night,West,none,False,0,1
S000006,U01019,R0006,2025-12-31T13:17:33.782848,lunch,West,none,True,257,2
S000007,U01756,R0016,2025-12-05T13:19:34.357477,lunch,East,none,False,0,3
S000008,U04100,R0007,2025-12-09T16:38:15.654511,late_night,Central,veg,True,252,3
S000009,U00491,R0039,2026-01-03T22:32:09.431151,dinner,Central,none,True,366,7
S000010,U00674,R0092,2025-12-10T14:03:12.383218,lunch,North,none,True,326,2
S000011,U02278,R0093,2025-12-13T13:08:58.542249,lunch,North,veg,True,471,3
S000012,U04251,R0007,2025-12-24T20:19:35.749773,dinner,Central,none,True,648,5
S000013,U00262,R0033,2025-12-14T14:46:18.769902,lunch,North,veg,True,332,2
S000014,U03628,R0088,2025-12-27T00:30:02.176394,late_night,East,none,True,499,3
S000015,U02581,R0043,2025-12-22T21:46:05.224651,dinner,West,none,True,616,5
S000016,U02949,R0048,2025-12-07T15:52:08.729860,late_night,South,none,True,482,3
S000017,U03981,R0032,2025-12-24T10:42:02.128489,breakfast,Central,none,True,667,3
S000018,U02377,R0096,2025-12-19T18:14:47.443805,late_night,South,none,True,163,2
S000019,U01775,R0027,2025-12-27T16:59:26.381125,late_night,South,none,False,0,4
S000020,U04591,R0024,2025-12-29T07:07:42.297591,breakfast,North,none,True,252,1
S000021,U01876,R0072,2025-12-27T19:51:45.252352,dinner,East,none,True,241,1
S000022,U00560,R0032,2025-12-06T07:56:20.138461,breakfast,Central,non-veg,True,720,5
S000023,U01044,R0085,2025-12-25T04:53:45.685138,late_night,Central,non-veg,True,1315,5
S000024,U00544,R0058,2026-01-01T00:46:09.979954,late_night,Central,none,True,179,2
S000025,U03407,R0050,2025-12-08T13:47:45.739533,lunch,South,veg,True,334,2
S000026,U04753,R0093,2025-12-17T23:00:38.502263,late_night,North,none,False,0,1
S000027,U02152,R0100,2025-12-29T22:12:16.620793,dinner,Central,none,True,1074,3
S000028,U04240,R0032,2025-12-04T02:55:34.036684,late_night,Central,none,True,654,4
S000029,U02936,R0099,2025-12-30T18:59:30.457660,late_night,West,veg,True,539,4
S000030,U04203,R0083,2025-12-19T00:08:26.470397,late_night,South,none,True,416,3
S000031,U00082,R0072,2025-12-06T05:34:03.817967,late_night,East,veg,True,602,2
S000032,U02225,R0045,2025-12-18T08:49:39.379659,breakfast,Central,none,True,203,3
S000033,U04919,R0096,2025-12-13T06:00:03.433964,late_night,South,none,True,579,6
S000034,U01691,R0018,2025-12-03T06:39:35.423042,late_night,East,veg,True,447,2
S000035,U04732,R0059,2025-12-04T23:41:32.600538,late_night,North,none,True,899,4
S000036,U02586,R0066,2025-12-27T14:18:58.322129,lunch,Central,none,False,0,8
S000037,U02236,R0062,2025-12-28T14:38:52.505141,lunch,Central,none,True,1011,5
S000038,U03498,R0009,2025-12-04T00:35:24.931567,late_night,South,none,False,0,5
S000039,U03885,R0034,2025-12-23T02:47:49.948699,late_night,West,none,True,371,2
S000040,U01553,R0060,2026-01-04T05:32:57.388149,late_night,West,none,True,236,3
S000041,U00437,R0081,2025-12-06T14:27:24.748654,lunch,North,none,True,450,3
S000042,U01177,R0024,2025-12-18T09:48:12.829422,breakfast,North,none,True,261,1
